bgp,satisfiable,found,type,size,ms,gen
N_1T,false,0,T,1,19,12
N_2J,false,0,J,2,1,12
N_2P_R,false,0,P,2,6,36
N_2T,false,0,T,2,18,144
N_3J,false,0,J,3,1,144
N_3P_C,false,0,P,3,24,432
S_5T,true,1,T,5,195,248832
S_5P_C,true,1,P,5,34,62208
S_4T,true,1,T,4,4,20736
S_4P_C,true,1,P,4,1,5184
S_4J,true,1,J,4,31,20736
S_3T,true,1,T,3,0,1728
S_3P_C,true,1,P,3,1,432
S_3J,true,1,J,3,1,1728
S_2T,true,1,T,2,0,144
S_2P_R,true,1,P,2,0,36
S_2J,true,1,J,2,0,144
S_1T,true,1,T,1,1,12
N_5T,false,0,T,5,2054,248832
N_5P_C,false,0,P,5,503,62208
N_5J,false,0,J,5,0,20736
N_4T,false,0,T,4,204,20736
N_4P_C,false,0,P,4,85,5184
N_4J,false,0,J,4,0,1728
N_3T,false,0,T,3,50,1728
N_3P_R,false,0,P,3,6,144
N_1T,false,0,T,1,21,12
N_2J,false,0,J,2,0,12
N_2P_R,false,0,P,2,6,36
N_2T,false,0,T,2,16,144
N_3J,false,0,J,3,1,144
N_3P_C,false,0,P,3,14,432
S_5T,true,1,T,5,193,248832
S_5P_C,true,1,P,5,35,62208
S_4T,true,1,T,4,4,20736
S_4P_C,true,1,P,4,1,5184
S_4J,true,1,J,4,32,20736
S_3T,true,1,T,3,1,1728
S_3P_C,true,1,P,3,1,432
S_3J,true,1,J,3,0,1728
S_2T,true,1,T,2,0,144
S_2P_R,true,1,P,2,0,36
S_2J,true,1,J,2,0,144
S_1T,true,1,T,1,1,12
N_5T,false,0,T,5,2006,248832
N_5P_C,false,0,P,5,496,62208
N_5J,false,0,J,5,0,20736
N_4T,false,0,T,4,201,20736
N_4P_C,false,0,P,4,92,5184
N_4J,false,0,J,4,0,1728
N_3T,false,0,T,3,37,1728
N_3P_R,false,0,P,3,6,144
N_1T,false,0,T,1,17,12
N_2J,false,0,J,2,1,12
N_2P_R,false,0,P,2,5,36
N_2T,false,0,T,2,14,144
N_3J,false,0,J,3,0,144
N_3P_C,false,0,P,3,17,432
S_5T,true,1,T,5,182,248832
S_5P_C,true,1,P,5,35,62208
S_4T,true,1,T,4,5,20736
S_4P_C,true,1,P,4,1,5184
S_4J,true,1,J,4,30,20736
S_3T,true,1,T,3,0,1728
S_3P_C,true,1,P,3,0,432
S_3J,true,1,J,3,0,1728
S_2T,true,1,T,2,1,144
S_2P_R,true,1,P,2,1,36
S_2J,true,1,J,2,0,144
S_1T,true,1,T,1,0,12
N_5T,false,0,T,5,1995,248832
N_5P_C,false,0,P,5,477,62208
N_5J,false,0,J,5,0,20736
N_4T,false,0,T,4,191,20736
N_4P_C,false,0,P,4,81,5184
N_4J,false,0,J,4,0,1728
N_3T,false,0,T,3,43,1728
N_3P_R,false,0,P,3,9,144
N_1T,false,0,T,1,17,12
N_2J,false,0,J,2,0,12
N_2P_R,false,0,P,2,4,36
N_2T,false,0,T,2,14,144
N_3J,false,0,J,3,0,144
N_3P_C,false,0,P,3,9,432
S_5T,true,1,T,5,164,248832
S_5P_C,true,1,P,5,30,62208
S_4T,true,1,T,4,4,20736
S_4P_C,true,1,P,4,1,5184
S_4J,true,1,J,4,29,20736
S_3T,true,1,T,3,0,1728
S_3P_C,true,1,P,3,0,432
S_3J,true,1,J,3,0,1728
S_2T,true,1,T,2,1,144
S_2P_R,true,1,P,2,0,36
S_2J,true,1,J,2,0,144
S_1T,true,1,T,1,1,12
N_5T,false,0,T,5,1698,248832
N_5P_C,false,0,P,5,384,62208
N_5J,false,0,J,5,0,20736
N_4T,false,0,T,4,167,20736
N_4P_C,false,0,P,4,57,5184
N_4J,false,0,J,4,0,1728
N_3T,false,0,T,3,32,1728
N_3P_R,false,0,P,3,7,144
N_1T,false,0,T,1,20,12
N_2J,false,0,J,2,1,12
N_2P_R,false,0,P,2,8,36
N_2T,false,0,T,2,15,144
N_3J,false,0,J,3,0,144
N_3P_C,false,0,P,3,14,432
S_5T,true,1,T,5,211,248832
S_5P_C,true,1,P,5,44,62208
S_4T,true,1,T,4,6,20736
S_4P_C,true,1,P,4,1,5184
S_4J,true,1,J,4,35,20736
S_3T,true,1,T,3,0,1728
S_3P_C,true,1,P,3,1,432
S_3J,true,1,J,3,1,1728
S_2T,true,1,T,2,1,144
S_2P_R,true,1,P,2,0,36
S_2J,true,1,J,2,0,144
S_1T,true,1,T,1,0,12
N_5T,false,0,T,5,2927,248832
N_5P_C,false,0,P,5,483,62208
N_5J,false,0,J,5,0,20736
N_4T,false,0,T,4,205,20736
N_4P_C,false,0,P,4,91,5184
N_4J,false,0,J,4,0,1728
N_3T,false,0,T,3,39,1728
N_3P_R,false,0,P,3,6,144
N_1T,false,0,T,1,16,12
N_2J,false,0,J,2,0,12
N_2P_R,false,0,P,2,4,36
N_2T,false,0,T,2,12,144
N_3J,false,0,J,3,0,144
N_3P_C,false,0,P,3,11,432
S_5T,true,1,T,5,201,248832
S_5P_C,true,1,P,5,30,62208
S_4T,true,1,T,4,4,20736
S_4P_C,true,1,P,4,1,5184
S_4J,true,1,J,4,32,20736
S_3T,true,1,T,3,0,1728
S_3P_C,true,1,P,3,1,432
S_3J,true,1,J,3,1,1728
S_2T,true,1,T,2,0,144
S_2P_R,true,1,P,2,1,36
S_2J,true,1,J,2,0,144
S_1T,true,1,T,1,0,12
N_5T,false,0,T,5,1557,248832
N_5P_C,false,0,P,5,380,62208
N_5J,false,0,J,5,0,20736
N_4T,false,0,T,4,171,20736
N_4P_C,false,0,P,4,70,5184
N_4J,false,0,J,4,0,1728
N_3T,false,0,T,3,32,1728
N_3P_R,false,0,P,3,6,144
N_1T,false,0,T,1,18,12
N_2J,false,0,J,2,0,12
N_2P_R,false,0,P,2,5,36
N_2T,false,0,T,2,13,144
N_3J,false,0,J,3,0,144
N_3P_C,false,0,P,3,12,432
S_5T,true,1,T,5,177,248832
S_5P_C,true,1,P,5,34,62208
S_4T,true,1,T,4,6,20736
S_4P_C,true,1,P,4,1,5184
S_4J,true,1,J,4,31,20736
S_3T,true,1,T,3,0,1728
S_3P_C,true,1,P,3,1,432
