query,bgpx,found,varSize,size,ms,gen
query-1.rq,1,2,2,1,0,2
query-1.rq,2,2,2,2,0,4
query-1.rq,3,2,2,1,1,2
query-10.rq,1,4,3,2,0,4
query-100.rq,1,8,4,3,0,8
query-101.rq,1,8,4,3,1,8
query-102.rq,1,8,4,3,0,8
query-102.rq,2,4,3,2,1,4
query-103.rq,1,2,2,1,0,2
query-104.rq,0,-1,0,0,0,0
query-105.rq,1,4,5,5,1,8
query-106.rq,1,6,3,1,1,12
query-106.rq,2,2,2,1,0,2
query-107.rq,1,1,0,0,0,1
query-107.rq,2,5,4,2,0,12
query-107.rq,3,5,4,2,0,12
query-108.rq,1,6,3,1,0,12
query-109.rq,1,6,3,1,0,12
query-11.rq,1,16,5,4,1,16
query-110.rq,1,6,3,1,0,12
query-111.rq,1,1,0,0,0,1
query-111.rq,2,4,5,5,0,8
query-112.rq,1,2,2,1,1,2
query-113.rq,1,2,2,1,0,2
query-113.rq,2,2,2,1,1,2
query-113.rq,3,2,2,1,0,2
query-113.rq,4,2,2,1,0,2
query-113.rq,5,2,2,1,0,2
query-113.rq,6,8,4,3,0,8
query-113.rq,7,2,2,1,0,2
query-114.rq,1,4,3,2,0,4
query-115.rq,1,4,3,2,1,4
query-116.rq,0,-1,0,0,0,0
query-117.rq,0,-1,0,0,0,0
query-118.rq,0,-1,0,0,0,0
query-119.rq,1,2,2,1,0,2
query-119.rq,2,4,3,2,0,4
query-12.rq,1,4,3,2,0,4
query-12.rq,2,2,2,1,1,2
query-12.rq,3,2,2,1,0,2
query-12.rq,4,2,2,1,0,2
query-12.rq,5,2,2,1,0,2
query-12.rq,6,2,2,1,0,2
query-12.rq,7,2,2,1,0,2
query-120.rq,1,8,4,3,0,8
query-120.rq,2,4,3,3,0,8
query-121.rq,1,4,5,6,1,16
query-122.rq,1,2,3,3,1,4
query-122.rq,2,2,3,3,0,4
query-122.rq,3,2,3,3,1,4
query-122.rq,4,4,5,6,1,16
query-122.rq,5,2,3,3,0,4
query-123.rq,1,16,9,12,7,256
query-123.rq,2,2,3,3,1,4
query-123.rq,3,8,7,9,2,64
query-124.rq,1,16,5,4,1,16
query-125.rq,1,16,5,4,1,16
query-125.rq,2,4,3,2,0,4
query-125.rq,3,2,2,1,0,2
query-125.rq,4,2,2,1,0,2
query-126.rq,1,2,3,3,0,4
query-126.rq,2,2,3,3,0,4
query-126.rq,3,2,3,3,0,4
query-126.rq,4,4,5,6,1,16
query-126.rq,5,2,3,3,1,4
query-126.rq,6,2,3,3,0,4
query-126.rq,7,4,5,6,0,16
query-126.rq,8,2,4,6,1,16
query-126.rq,9,2,3,3,0,4
query-126.rq,10,4,5,6,0,16
query-127.rq,1,4,3,2,0,4
query-127.rq,2,4,3,2,0,4
query-127.rq,3,4,3,2,0,4
query-127.rq,4,4,3,3,1,8
query-128.rq,1,4,3,2,0,4
query-128.rq,2,16,8,6,2,24
query-128.rq,3,8,6,4,1,12
query-128.rq,4,4,5,3,0,6
query-129.rq,1,4,3,2,0,4
query-13.rq,1,256,9,8,21,256
query-13.rq,2,1,0,0,0,1
query-13.rq,3,2,2,1,0,2
query-130.rq,0,-1,0,0,0,0
query-131.rq,1,8,4,3,0,8
query-132.rq,1,4,3,3,0,8
query-132.rq,2,2,2,1,0,2
query-133.rq,1,512,10,9,34,512
query-133.rq,2,1,5,6,1,8
query-134.rq,1,32,7,6,1,96
query-135.rq,1,6,3,1,0,12
query-136.rq,1,8,6,4,0,12
query-136.rq,2,2,2,1,1,2
query-136.rq,3,2,2,1,0,2
query-136.rq,4,2,2,1,0,2
query-136.rq,5,2,2,1,0,2
query-136.rq,6,2,2,1,0,2
query-136.rq,7,2,2,1,1,2
query-136.rq,8,2,2,1,0,2
query-136.rq,9,2,2,1,0,2
query-136.rq,10,5,4,2,0,12
query-136.rq,11,4,5,3,0,6
query-136.rq,12,2,2,1,0,2
query-136.rq,13,5,4,2,0,12
query-136.rq,14,2,2,1,0,2
query-136.rq,15,2,2,1,0,2
query-136.rq,16,2,2,1,0,2
query-136.rq,17,2,2,1,0,2
query-136.rq,18,2,2,1,0,2
query-136.rq,19,2,2,1,1,2
query-136.rq,20,2,2,1,0,2
query-136.rq,21,5,4,2,0,12
query-136.rq,22,5,4,2,0,12
query-136.rq,23,2,2,1,0,2
query-136.rq,24,2,2,1,0,2
query-136.rq,25,2,2,1,0,2
query-136.rq,26,5,4,2,0,12
query-136.rq,27,2,2,1,0,2
query-137.rq,0,-1,0,0,0,0
query-138.rq,1,6,3,2,0,24
query-139.rq,1,128,8,7,4,128
query-14.rq,1,4,3,2,0,4
query-14.rq,2,2,2,1,0,2
query-140.rq,1,4,4,3,0,12
query-140.rq,2,2,2,1,0,2
query-140.rq,3,2,2,1,0,2
query-140.rq,4,2,2,1,0,2
query-140.rq,5,2,2,1,0,2
query-140.rq,6,2,2,1,0,2
query-140.rq,7,2,2,1,0,2
query-140.rq,8,2,2,1,0,2
query-140.rq,9,2,2,1,0,2
query-140.rq,10,2,2,1,0,2
query-140.rq,11,2,2,1,0,2
query-140.rq,12,2,2,1,0,2
query-140.rq,13,2,2,1,0,2
query-140.rq,14,2,2,1,0,2
query-140.rq,15,2,2,1,0,2
query-140.rq,16,2,2,1,1,2
query-140.rq,17,2,2,1,0,2
query-140.rq,18,2,2,1,1,2
query-140.rq,19,2,2,1,0,2
query-140.rq,20,2,2,1,0,2
query-141.rq,1,4,3,2,0,4
query-142.rq,1,576,9,6,37,2304
query-143.rq,1,1,0,0,0,1
query-143.rq,2,2,2,1,0,2
query-144.rq,1,1,0,0,0,1
query-144.rq,2,16,8,6,1,24
query-145.rq,1,1,0,0,0,1
query-145.rq,2,12,4,2,0,24
query-146.rq,1,2,2,2,1,4
query-146.rq,2,8,4,3,0,8
query-146.rq,3,2,2,1,0,2
query-146.rq,4,2,2,1,0,2
query-146.rq,5,2,2,1,0,2
query-147.rq,1,1,0,0,0,1
query-147.rq,2,2,2,1,0,2
query-148.rq,1,16,9,12,4,256
query-149.rq,1,2,2,1,0,2
query-149.rq,2,2,2,1,0,2
query-149.rq,3,2,2,1,0,2
query-149.rq,4,2,2,1,0,2
query-149.rq,5,2,2,1,0,2
query-149.rq,6,2,2,1,1,2
query-149.rq,7,2,3,2,0,2
query-149.rq,8,2,3,2,0,2
query-149.rq,9,2,3,2,1,2
query-149.rq,10,2,2,1,0,2
query-149.rq,11,4,4,2,0,4
query-149.rq,12,2,2,1,1,2
query-149.rq,13,2,2,1,0,2
query-149.rq,14,2,2,1,0,2
query-149.rq,15,2,2,1,0,2
query-149.rq,16,2,2,1,0,2
query-149.rq,17,16,5,4,0,16
query-149.rq,18,2,2,1,0,2
query-149.rq,19,2,2,1,0,2
query-149.rq,20,4,3,2,0,4
query-149.rq,21,16,5,4,0,16
query-149.rq,22,2,2,1,0,2
query-149.rq,23,2,2,1,0,2
query-149.rq,24,2,2,1,0,2
query-149.rq,25,2,2,1,0,2
query-149.rq,26,2,2,1,0,2
query-149.rq,27,2,2,1,0,2
query-149.rq,28,2,2,1,0,2
query-149.rq,29,2,2,1,0,2
query-149.rq,30,2,2,1,0,2
query-149.rq,31,2,2,1,0,2
query-15.rq,1,16,5,4,1,16
query-15.rq,2,1,0,0,0,1
query-15.rq,3,2,2,1,0,2
query-150.rq,1,16,9,12,5,256
query-150.rq,2,4,5,6,1,16
query-150.rq,3,2,3,3,0,4
query-150.rq,4,2,3,3,1,4
query-151.rq,1,2,2,1,0,2
query-151.rq,2,2,2,1,0,2
query-151.rq,3,2,2,1,0,2
query-151.rq,4,4,3,2,0,4
query-151.rq,5,2,2,1,0,2
query-151.rq,6,2,2,1,1,2
query-151.rq,7,4,3,2,0,4
query-151.rq,8,2,2,2,0,4
query-151.rq,9,2,2,1,0,2
query-151.rq,10,4,3,2,0,4
query-152.rq,1,1,0,0,0,1
query-152.rq,2,5,4,2,0,12
query-153.rq,1,32,7,6,2,96
query-154.rq,1,1,0,0,0,1
query-154.rq,2,32,8,7,2,32
query-154.rq,3,64,9,8,4,64
query-154.rq,4,64,9,8,3,64
query-154.rq,5,8,4,3,0,8
query-154.rq,6,64,8,6,2,64
query-155.rq,1,4,3,2,0,4
query-155.rq,2,4,4,3,0,4
query-155.rq,3,8,6,4,0,12
query-156.rq,1,2048,16,14,227,3072
query-157.rq,1,6,3,1,1,12
query-158.rq,1,16,7,6,1,48
query-159.rq,1,6,3,1,0,12
query-16.rq,1,1,0,0,0,1
query-16.rq,2,2,2,1,0,2
query-160.rq,1,6,3,1,0,12
query-161.rq,1,4,3,2,0,4
query-161.rq,2,8,4,3,0,8
query-161.rq,3,1,1,2,0,4
query-161.rq,4,2,2,1,0,2
query-162.rq,1,2,2,1,0,2
query-163.rq,0,-1,0,0,0,0
query-164.rq,1,6,3,2,0,24
query-165.rq,1,4,3,2,0,4
query-166.rq,1,6,3,1,0,12
query-167.rq,1,6,3,1,4,12
query-168.rq,1,64,10,7,7,432
query-169.rq,0,-1,0,0,0,0
query-17.rq,1,2,2,1,0,2
query-170.rq,1,16,5,4,0,16
query-171.rq,0,-1,0,0,0,0
query-172.rq,1,512,10,10,19,512
query-172.rq,2,512,10,9,18,512
query-172.rq,3,512,10,9,19,512
query-172.rq,4,128,8,7,3,128
query-172.rq,5,4096,13,12,464,4096
