bgp,satisfiable,found,type,size,ms,gen
N_1T,false,0,T,1,1,12
N_2J,false,0,J,2,0,0
N_2P_R,false,0,P,2,79,1957
N_2T,false,0,T,2,453,16364
N_3J,false,0,J,3,0,0
N_3P_C,false,0,P,3,2480,109601
N_3P_R,false,0,P,3,229,12330
N_3T,false,-1,T,3,-1,-1
N_4J,false,0,J,4,0,1
N_4P_C,false,-1,P,4,-1,-1
N_4T,false,-1,T,4,-1,-1
N_5J,false,0,J,5,0,6
N_5P_C,false,-1,P,5,-1,-1
N_5T,false,-1,T,5,-1,-1
S_1T,true,1,T,1,0,27
S_5T,true,1,T,5,1,90
S_5P_C,true,1,P,5,1,89
S_4T,true,1,T,4,1,64
S_4P_C,true,1,P,4,4457,822323
S_4J,true,1,J,4,44,7458
S_3T,true,1,T,3,1,44
S_3P_C,true,1,P,3,1,44
S_3J,true,1,J,3,134,12379
S_2T,true,1,T,2,0,11
S_2P_R,true,1,P,2,54,1568
S_2J,true,1,J,2,0,19
N_1T,false,0,T,1,2,12
N_2J,false,0,J,2,0,0
N_2P_R,false,0,P,2,58,1957
N_2T,false,0,T,2,448,16364
N_3J,false,0,J,3,0,0
N_3P_C,false,0,P,3,2337,109601
N_3P_R,false,0,P,3,234,12330
N_3T,false,-1,T,3,-1,-1
N_4J,false,0,J,4,0,2
N_4P_C,false,-1,P,4,-1,-1
N_4T,false,-1,T,4,-1,-1
N_5J,false,0,J,5,0,6
N_5P_C,false,-1,P,5,-1,-1
N_5T,false,-1,T,5,-1,-1
S_1T,true,1,T,1,0,26
S_5T,true,1,T,5,1,135
S_5P_C,true,1,P,5,1,120
S_4T,true,1,T,4,1,82
S_4P_C,true,1,P,4,4391,821614
S_4J,true,1,J,4,45,7609
S_3T,true,1,T,3,0,33
S_3P_C,true,1,P,3,0,48
S_3J,true,1,J,3,99,12361
S_2T,true,1,T,2,0,13
S_2P_R,true,1,P,2,42,1616
S_2J,true,1,J,2,0,22
N_1T,false,0,T,1,1,12
N_2J,false,0,J,2,0,0
N_2P_R,false,0,P,2,57,1957
N_2T,false,0,T,2,431,16364
N_3J,false,0,J,3,0,0
N_3P_C,false,0,P,3,2270,109601
N_3P_R,false,0,P,3,233,12330
N_3T,false,-1,T,3,-1,-1
N_4J,false,0,J,4,0,1
N_4P_C,false,-1,P,4,-1,-1
N_4T,false,-1,T,4,-1,-1
N_5J,false,0,J,5,0,5
N_5P_C,false,-1,P,5,-1,-1
N_5T,false,-1,T,5,-1,-1
