bgp,satisfiable,found,type,size,ms,gen
S_5T,true,-1,T,5,-1,-1
S_5P_C,true,-1,P,5,-1,-1
S_4T,true,-1,T,4,-1,-1
S_4P_C,true,-1,P,4,-1,-1
S_4J,true,-1,J,4,-1,-1
S_3T,true,-1,T,3,-1,-1
S_3P_C,true,-1,P,3,-1,-1
S_3J,true,-1,J,3,-1,-1
S_2T,true,36,T,2,3365,664740
S_2P_R,true,1,P,2,32,6175
S_2J,true,36,J,2,558,73404
S_1T,true,6,T,1,6,212
S_5T,true,-1,T,5,-1,-1
S_5P_C,true,-1,P,5,-1,-1
S_4T,true,-1,T,4,-1,-1
S_4P_C,true,-1,P,4,-1,-1
S_4J,true,-1,J,4,-1,-1
S_3T,true,-1,T,3,-1,-1
S_3P_C,true,-1,P,3,-1,-1
S_3J,true,-1,J,3,-1,-1
S_2T,true,36,T,2,3289,674843
S_2P_R,true,1,P,2,34,6965
S_2J,true,36,J,2,531,73635
S_1T,true,6,T,1,6,176
S_5T,true,-1,T,5,-1,-1
S_5P_C,true,-1,P,5,-1,-1
S_4T,true,-1,T,4,-1,-1
S_4P_C,true,-1,P,4,-1,-1
S_4J,true,-1,J,4,-1,-1
S_3T,true,-1,T,3,-1,-1
S_3P_C,true,-1,P,3,-1,-1
S_3J,true,-1,J,3,-1,-1
S_2T,true,36,T,2,3479,670686
S_2P_R,true,1,P,2,30,6403
S_2J,true,36,J,2,531,72146
S_1T,true,6,T,1,6,189
S_5T,true,-1,T,5,-1,-1
S_5P_C,true,-1,P,5,-1,-1
S_4T,true,-1,T,4,-1,-1
S_4P_C,true,-1,P,4,-1,-1
S_4J,true,-1,J,4,-1,-1
S_3T,true,-1,T,3,-1,-1
S_3P_C,true,-1,P,3,-1,-1
S_3J,true,-1,J,3,-1,-1
S_2T,true,36,T,2,3097,671323
S_2P_R,true,1,P,2,32,6718
S_2J,true,36,J,2,469,73592
S_1T,true,6,T,1,5,199
S_5T,true,-1,T,5,-1,-1
S_5P_C,true,-1,P,5,-1,-1
S_4T,true,-1,T,4,-1,-1
S_4P_C,true,-1,P,4,-1,-1
S_4J,true,-1,J,4,-1,-1
S_3T,true,-1,T,3,-1,-1
S_3P_C,true,-1,P,3,-1,-1
S_3J,true,-1,J,3,-1,-1
S_2T,true,36,T,2,2797,670260
S_2P_R,true,1,P,2,26,6069
S_2J,true,36,J,2,502,72298
S_1T,true,6,T,1,6,183
S_5T,true,-1,T,5,-1,-1
S_5P_C,true,-1,P,5,-1,-1
S_4T,true,-1,T,4,-1,-1
S_4P_C,true,-1,P,4,-1,-1
S_4J,true,-1,J,4,-1,-1
S_3T,true,-1,T,3,-1,-1
S_3P_C,true,-1,P,3,-1,-1
S_3J,true,-1,J,3,-1,-1
S_2T,true,36,T,2,3178,671603
S_2P_R,true,1,P,2,31,6790
S_2J,true,36,J,2,530,71886
S_1T,true,6,T,1,5,170
S_5T,true,-1,T,5,-1,-1
S_5P_C,true,-1,P,5,-1,-1
S_4T,true,-1,T,4,-1,-1
S_4P_C,true,-1,P,4,-1,-1
S_4J,true,-1,J,4,-1,-1
S_3T,true,-1,T,3,-1,-1
S_3P_C,true,-1,P,3,-1,-1
S_3J,true,-1,J,3,-1,-1
S_2T,true,36,T,2,3061,678040
S_2P_R,true,1,P,2,29,6467
S_2J,true,36,J,2,510,73450
S_1T,true,6,T,1,6,179
S_5T,true,-1,T,5,-1,-1
S_5P_C,true,-1,P,5,-1,-1
S_4T,true,-1,T,4,-1,-1
S_4P_C,true,-1,P,4,-1,-1
S_4J,true,-1,J,4,-1,-1
S_3T,true,-1,T,3,-1,-1
S_3P_C,true,-1,P,3,-1,-1
S_3J,true,-1,J,3,-1,-1
S_2T,true,36,T,2,3189,671963
S_2P_R,true,1,P,2,28,6294
S_2J,true,36,J,2,516,71984
S_1T,true,6,T,1,6,156
S_5T,true,-1,T,5,-1,-1
S_5P_C,true,-1,P,5,-1,-1
S_4T,true,-1,T,4,-1,-1
S_4P_C,true,-1,P,4,-1,-1
S_4J,true,-1,J,4,-1,-1
S_3T,true,-1,T,3,-1,-1
S_3P_C,true,-1,P,3,-1,-1
S_3J,true,-1,J,3,-1,-1
S_2T,true,-1,T,2,-1,-1
S_2P_R,true,1,P,2,59,6352
S_2J,true,36,J,2,702,73998
S_1T,true,6,T,1,7,207
S_5T,true,-1,T,5,-1,-1
S_5P_C,true,-1,P,5,-1,-1
S_4T,true,-1,T,4,-1,-1
S_4P_C,true,-1,P,4,-1,-1
S_4J,true,-1,J,4,-1,-1
S_3T,true,-1,T,3,-1,-1
S_3P_C,true,-1,P,3,-1,-1
S_3J,true,-1,J,3,-1,-1
S_2T,true,36,T,2,3720,662653
S_2P_R,true,1,P,2,37,6218
S_2J,true,36,J,2,570,72564
S_1T,true,6,T,1,7,203
