bgp,satisfiable,found,type,size,ms,gen
S_5T,true,-1,T,5,-1,-1
S_5P_C,true,-1,P,5,-1,-1
S_4T,true,-1,T,4,-1,-1
S_4P_C,true,-1,P,4,-1,-1
S_4J,true,-1,J,4,-1,-1
S_3T,true,-1,T,3,-1,-1
S_3P_C,true,-1,P,3,-1,-1
S_3J,true,-1,J,3,-1,-1
S_2T,true,36,T,2,3028,584270
S_2P_R,true,1,P,2,28,6174
S_2J,true,36,J,2,740,68127
S_1T,true,6,T,1,5,160
S_5T,true,-1,T,5,-1,-1
S_5P_C,true,-1,P,5,-1,-1
S_4T,true,-1,T,4,-1,-1
S_4P_C,true,-1,P,4,-1,-1
S_4J,true,-1,J,4,-1,-1
S_3T,true,-1,T,3,-1,-1
S_3P_C,true,-1,P,3,-1,-1
S_3J,true,-1,J,3,-1,-1
S_2T,true,36,T,2,2959,583464
S_2P_R,true,1,P,2,25,5963
S_2J,true,36,J,2,475,67732
S_1T,true,6,T,1,4,179
S_5T,true,-1,T,5,-1,-1
S_5P_C,true,-1,P,5,-1,-1
S_4T,true,-1,T,4,-1,-1
S_4P_C,true,-1,P,4,-1,-1
S_4J,true,-1,J,4,-1,-1
S_3T,true,-1,T,3,-1,-1
S_3P_C,true,-1,P,3,-1,-1
S_3J,true,-1,J,3,-1,-1
S_2T,true,36,T,2,3220,601385
S_2P_R,true,1,P,2,27,6111
S_2J,true,36,J,2,506,67505
S_1T,true,6,T,1,5,161
S_5T,true,-1,T,5,-1,-1
S_5P_C,true,-1,P,5,-1,-1
S_4T,true,-1,T,4,-1,-1
S_4P_C,true,-1,P,4,-1,-1
S_4J,true,-1,J,4,-1,-1
S_3T,true,-1,T,3,-1,-1
S_3P_C,true,-1,P,3,-1,-1
S_3J,true,-1,J,3,-1,-1
S_2T,true,36,T,2,2872,587299
S_2P_R,true,1,P,2,25,6036
S_2J,true,36,J,2,436,67513
S_1T,true,6,T,1,5,172
S_5T,true,-1,T,5,-1,-1
S_5P_C,true,-1,P,5,-1,-1
S_4T,true,-1,T,4,-1,-1
S_4P_C,true,-1,P,4,-1,-1
S_4J,true,-1,J,4,-1,-1
S_3T,true,-1,T,3,-1,-1
S_3P_C,true,-1,P,3,-1,-1
S_3J,true,-1,J,3,-1,-1
S_2T,true,36,T,2,2805,575144
S_2P_R,true,1,P,2,28,5310
S_2J,true,36,J,2,443,69687
S_1T,true,6,T,1,4,164
S_5T,true,-1,T,5,-1,-1
S_5P_C,true,-1,P,5,-1,-1
S_4T,true,-1,T,4,-1,-1
S_4P_C,true,-1,P,4,-1,-1
S_4J,true,-1,J,4,-1,-1
S_3T,true,-1,T,3,-1,-1
S_3P_C,true,-1,P,3,-1,-1
S_3J,true,-1,J,3,-1,-1
S_2T,true,36,T,2,2853,596518
S_2P_R,true,1,P,2,27,5786
S_2J,true,36,J,2,464,63229
S_1T,true,6,T,1,5,152
S_5T,true,-1,T,5,-1,-1
S_5P_C,true,-1,P,5,-1,-1
S_4T,true,-1,T,4,-1,-1
S_4P_C,true,-1,P,4,-1,-1
S_4J,true,-1,J,4,-1,-1
S_3T,true,-1,T,3,-1,-1
S_3P_C,true,-1,P,3,-1,-1
S_3J,true,-1,J,3,-1,-1
S_2T,true,36,T,2,2832,590495
S_2P_R,true,1,P,2,25,6032
S_2J,true,36,J,2,445,68714
S_1T,true,6,T,1,5,170
S_5T,true,-1,T,5,-1,-1
S_5P_C,true,-1,P,5,-1,-1
S_4T,true,-1,T,4,-1,-1
S_4P_C,true,-1,P,4,-1,-1
S_4J,true,-1,J,4,-1,-1
S_3T,true,-1,T,3,-1,-1
S_3P_C,true,-1,P,3,-1,-1
S_3J,true,-1,J,3,-1,-1
S_2T,true,36,T,2,2768,587024
S_2P_R,true,1,P,2,24,5486
S_2J,true,36,J,2,642,62525
S_1T,true,6,T,1,4,138
S_5T,true,-1,T,5,-1,-1
S_5P_C,true,-1,P,5,-1,-1
S_4T,true,-1,T,4,-1,-1
S_4P_C,true,-1,P,4,-1,-1
S_4J,true,-1,J,4,-1,-1
S_3T,true,-1,T,3,-1,-1
S_3P_C,true,-1,P,3,-1,-1
S_3J,true,-1,J,3,-1,-1
S_2T,true,36,T,2,2831,581726
S_2P_R,true,1,P,2,25,5585
S_2J,true,36,J,2,430,65691
S_1T,true,6,T,1,4,158
S_5T,true,-1,T,5,-1,-1
S_5P_C,true,-1,P,5,-1,-1
S_4T,true,-1,T,4,-1,-1
S_4P_C,true,-1,P,4,-1,-1
S_4J,true,-1,J,4,-1,-1
S_3T,true,-1,T,3,-1,-1
S_3P_C,true,-1,P,3,-1,-1
S_3J,true,-1,J,3,-1,-1
S_2T,true,36,T,2,3132,571938
S_2P_R,true,1,P,2,28,5298
S_2J,true,36,J,2,690,59894
S_1T,true,6,T,1,4,143
