bgp,satisfiable,found,type,size,ms,gen
S_5T,true,7776,T,5,2227,248832
S_5P_C,true,16,P,5,3,162
S_4T,true,1296,T,4,201,20736
S_4P_C,true,8,P,4,1,54
S_4J,true,300,J,4,42,5184
S_3T,true,216,T,3,15,1728
S_3P_C,true,4,P,3,0,18
S_3J,true,60,J,3,3,432
S_2T,true,36,T,2,1,144
S_2P_R,true,1,P,2,0,36
S_2J,true,36,J,2,1,144
S_1T,true,6,T,1,0,12
S_5T,true,7776,T,5,1825,248832
S_5P_C,true,16,P,5,3,162
S_4T,true,1296,T,4,173,20736
S_4P_C,true,8,P,4,1,54
S_4J,true,300,J,4,38,5184
S_3T,true,216,T,3,16,1728
S_3P_C,true,4,P,3,1,18
S_3J,true,60,J,3,3,432
S_2T,true,36,T,2,1,144
S_2P_R,true,1,P,2,0,36
S_2J,true,36,J,2,1,144
S_1T,true,6,T,1,1,12
S_5T,true,7776,T,5,1734,248832
S_5P_C,true,16,P,5,2,162
S_4T,true,1296,T,4,167,20736
S_4P_C,true,8,P,4,1,54
S_4J,true,300,J,4,39,5184
S_3T,true,216,T,3,17,1728
S_3P_C,true,4,P,3,1,18
S_3J,true,60,J,3,3,432
S_2T,true,36,T,2,1,144
S_2P_R,true,1,P,2,0,36
S_2J,true,36,J,2,1,144
S_1T,true,6,T,1,1,12
S_5T,true,7776,T,5,1344,248832
S_5P_C,true,16,P,5,2,162
S_4T,true,1296,T,4,144,20736
S_4P_C,true,8,P,4,1,54
S_4J,true,300,J,4,31,5184
S_3T,true,216,T,3,14,1728
S_3P_C,true,4,P,3,0,18
S_3J,true,60,J,3,3,432
S_2T,true,36,T,2,1,144
S_2P_R,true,1,P,2,0,36
S_2J,true,36,J,2,1,144
S_1T,true,6,T,1,1,12
S_5T,true,7776,T,5,1659,248832
S_5P_C,true,16,P,5,2,162
S_4T,true,1296,T,4,172,20736
S_4P_C,true,8,P,4,1,54
S_4J,true,300,J,4,34,5184
S_3T,true,216,T,3,19,1728
S_3P_C,true,4,P,3,1,18
S_3J,true,60,J,3,3,432
S_2T,true,36,T,2,1,144
S_2P_R,true,1,P,2,0,36
S_2J,true,36,J,2,1,144
S_1T,true,6,T,1,1,12
S_5T,true,7776,T,5,1507,248832
S_5P_C,true,16,P,5,1,162
S_4T,true,1296,T,4,113,20736
S_4P_C,true,8,P,4,1,54
S_4J,true,300,J,4,28,5184
S_3T,true,216,T,3,13,1728
S_3P_C,true,4,P,3,1,18
S_3J,true,60,J,3,2,432
S_2T,true,36,T,2,1,144
S_2P_R,true,1,P,2,1,36
S_2J,true,36,J,2,1,144
S_1T,true,6,T,1,1,12
S_5T,true,7776,T,5,1514,248832
S_5P_C,true,16,P,5,2,162
S_4T,true,1296,T,4,144,20736
S_4P_C,true,8,P,4,1,54
S_4J,true,300,J,4,30,5184
S_3T,true,216,T,3,13,1728
S_3P_C,true,4,P,3,0,18
S_3J,true,60,J,3,3,432
S_2T,true,36,T,2,1,144
S_2P_R,true,1,P,2,1,36
S_2J,true,36,J,2,1,144
S_1T,true,6,T,1,1,12
S_5T,true,7776,T,5,1756,248832
S_5P_C,true,16,P,5,2,162
S_4T,true,1296,T,4,218,20736
S_4P_C,true,8,P,4,0,54
S_4J,true,300,J,4,42,5184
S_3T,true,216,T,3,14,1728
S_3P_C,true,4,P,3,0,18
S_3J,true,60,J,3,3,432
S_2T,true,36,T,2,2,144
S_2P_R,true,1,P,2,1,36
S_2J,true,36,J,2,2,144
S_1T,true,6,T,1,2,12
S_5T,true,7776,T,5,1883,248832
S_5P_C,true,16,P,5,2,162
S_4T,true,1296,T,4,185,20736
S_4P_C,true,8,P,4,1,54
S_4J,true,300,J,4,41,5184
S_3T,true,216,T,3,15,1728
S_3P_C,true,4,P,3,1,18
S_3J,true,60,J,3,4,432
S_2T,true,36,T,2,1,144
S_2P_R,true,1,P,2,1,36
S_2J,true,36,J,2,1,144
S_1T,true,6,T,1,1,12
S_5T,true,7776,T,5,2096,248832
S_5P_C,true,16,P,5,3,162
S_4T,true,1296,T,4,202,20736
S_4P_C,true,8,P,4,1,54
S_4J,true,300,J,4,42,5184
S_3T,true,216,T,3,15,1728
S_3P_C,true,4,P,3,0,18
S_3J,true,60,J,3,3,432
S_2T,true,36,T,2,1,144
S_2P_R,true,1,P,2,0,36
S_2J,true,36,J,2,1,144
S_1T,true,6,T,1,1,12
