bgp,satisfiable,found,type,size,ms,gen
S_5T,true,7776,T,5,1633,248832
S_5P_C,true,16,P,5,310,62208
S_4T,true,1296,T,4,160,20736
S_4P_C,true,8,P,4,23,5184
S_4J,true,300,J,4,80,20736
S_3T,true,216,T,3,10,1728
S_3P_C,true,4,P,3,2,432
S_3J,true,60,J,3,5,1728
S_2T,true,36,T,2,1,144
S_2P_R,true,1,P,2,0,36
S_2J,true,36,J,2,1,144
S_1T,true,6,T,1,0,12
S_5T,true,7776,T,5,1586,248832
S_5P_C,true,16,P,5,294,62208
S_4T,true,1296,T,4,119,20736
S_4P_C,true,8,P,4,21,5184
S_4J,true,300,J,4,77,20736
S_3T,true,216,T,3,9,1728
S_3P_C,true,4,P,3,1,432
S_3J,true,60,J,3,6,1728
S_2T,true,36,T,2,1,144
S_2P_R,true,1,P,2,1,36
S_2J,true,36,J,2,1,144
S_1T,true,6,T,1,0,12
S_5T,true,7776,T,5,1528,248832
S_5P_C,true,16,P,5,281,62208
S_4T,true,1296,T,4,115,20736
S_4P_C,true,8,P,4,20,5184
S_4J,true,300,J,4,77,20736
S_3T,true,216,T,3,9,1728
S_3P_C,true,4,P,3,2,432
S_3J,true,60,J,3,6,1728
S_2T,true,36,T,2,1,144
S_2P_R,true,1,P,2,0,36
S_2J,true,36,J,2,1,144
S_1T,true,6,T,1,0,12
S_5T,true,7776,T,5,1449,248832
S_5P_C,true,16,P,5,264,62208
S_4T,true,1296,T,4,111,20736
S_4P_C,true,8,P,4,19,5184
S_4J,true,300,J,4,66,20736
S_3T,true,216,T,3,8,1728
S_3P_C,true,4,P,3,1,432
S_3J,true,60,J,3,5,1728
S_2T,true,36,T,2,1,144
S_2P_R,true,1,P,2,1,36
S_2J,true,36,J,2,1,144
S_1T,true,6,T,1,0,12
S_5T,true,7776,T,5,1995,248832
S_5P_C,true,16,P,5,333,62208
S_4T,true,1296,T,4,178,20736
S_4P_C,true,8,P,4,37,5184
S_4J,true,300,J,4,84,20736
S_3T,true,216,T,3,10,1728
S_3P_C,true,4,P,3,2,432
S_3J,true,60,J,3,6,1728
S_2T,true,36,T,2,1,144
S_2P_R,true,1,P,2,1,36
S_2J,true,36,J,2,1,144
S_1T,true,6,T,1,0,12
S_5T,true,7776,T,5,1332,248832
S_5P_C,true,16,P,5,267,62208
S_4T,true,1296,T,4,117,20736
S_4P_C,true,8,P,4,20,5184
S_4J,true,300,J,4,85,20736
S_3T,true,216,T,3,15,1728
S_3P_C,true,4,P,3,2,432
S_3J,true,60,J,3,10,1728
S_2T,true,36,T,2,1,144
S_2P_R,true,1,P,2,0,36
S_2J,true,36,J,2,2,144
S_1T,true,6,T,1,0,12
S_5T,true,7776,T,5,1487,248832
S_5P_C,true,16,P,5,274,62208
S_4T,true,1296,T,4,116,20736
S_4P_C,true,8,P,4,20,5184
S_4J,true,300,J,4,71,20736
S_3T,true,216,T,3,8,1728
S_3P_C,true,4,P,3,2,432
S_3J,true,60,J,3,6,1728
S_2T,true,36,T,2,1,144
S_2P_R,true,1,P,2,0,36
S_2J,true,36,J,2,1,144
S_1T,true,6,T,1,0,12
S_5T,true,7776,T,5,1508,248832
S_5P_C,true,16,P,5,300,62208
S_4T,true,1296,T,4,155,20736
S_4P_C,true,8,P,4,22,5184
S_4J,true,300,J,4,76,20736
S_3T,true,216,T,3,9,1728
S_3P_C,true,4,P,3,1,432
S_3J,true,60,J,3,6,1728
S_2T,true,36,T,2,1,144
S_2P_R,true,1,P,2,0,36
S_2J,true,36,J,2,0,144
S_1T,true,6,T,1,0,12
S_5T,true,7776,T,5,1555,248832
S_5P_C,true,16,P,5,288,62208
S_4T,true,1296,T,4,114,20736
S_4P_C,true,8,P,4,20,5184
S_4J,true,300,J,4,73,20736
S_3T,true,216,T,3,9,1728
S_3P_C,true,4,P,3,1,432
S_3J,true,60,J,3,5,1728
S_2T,true,36,T,2,0,144
S_2P_R,true,1,P,2,0,36
S_2J,true,36,J,2,0,144
S_1T,true,6,T,1,0,12
S_5T,true,7776,T,5,1576,248832
S_5P_C,true,16,P,5,294,62208
S_4T,true,1296,T,4,152,20736
S_4P_C,true,8,P,4,22,5184
S_4J,true,300,J,4,76,20736
S_3T,true,216,T,3,10,1728
S_3P_C,true,4,P,3,1,432
S_3J,true,60,J,3,6,1728
S_2T,true,36,T,2,1,144
S_2P_R,true,1,P,2,1,36
S_2J,true,36,J,2,1,144
S_1T,true,6,T,1,0,12
